K,T,call_price_heston,put_price_heston,call_iv_heston,put_iv_heston
610.08,0.1,56.304929503465935,5.096974907160227,0.27187295055133087,0.2720866329891681
615.08,0.1,52.15582480558232,5.812673399318936,0.269240871674776,0.267187195692718
620.08,0.1,47.778709685953054,6.793836931038275,0.2609022796162665,0.26516242793446776
625.08,0.1,43.90447016516856,7.828192344421951,0.2592643456157743,0.26196359885981685
630.08,0.1,40.63922784598168,9.128530031524454,0.2644489312476814,0.2607713283426464
635.08,0.1,36.908002873592544,10.31810470403584,0.26034268196839105,0.25588667298331863
640.08,0.1,33.20305174909397,11.952537639441982,0.25469189907357087,0.2550683020289243
645.08,0.1,29.89682615457105,13.46482535513858,0.25228357580974703,0.25045359583583476
650.08,0.1,26.682831796697464,15.271486714693985,0.24886644494190807,0.2474694922792613
655.08,0.1,23.46917313598632,17.42676712235956,0.24329204532298448,0.24653432614022497
660.08,0.1,20.77687837140452,19.571234946824184,0.2418008876134753,0.24316304609952866
665.08,0.1,18.31852276100714,21.871393146770114,0.24077208267113565,0.23935060272169117
670.08,0.1,15.931333338116833,24.530257482897518,0.2382330763543249,0.23747857171294096
675.08,0.1,13.680934693001152,27.317636264933615,0.23493342612385754,0.23475441865344346
680.08,0.1,11.783824693365366,30.32264559650925,0.23356246106034517,0.2322593111136109
685.08,0.1,10.007864566316872,33.37950918326679,0.23129091541834176,0.22784450379803778
690.08,0.1,8.463663112663108,37.24401280378158,0.22961389571112395,0.23183115647718305
695.08,0.1,7.1314279101707845,40.5759964659719,0.22845413949516413,0.22597342646265028
700.08,0.1,5.960206459677889,44.769755142184444,0.22726589228749272,0.23057716541206838
705.08,0.1,4.911607875755055,48.51250850970121,0.22556868152704834,0.22573649823659658
710.08,0.1,4.13573848464615,52.597213681323545,0.22630062583294508,0.22401622050169107
610.08,0.2,63.0386636813196,10.637748718527952,0.2634277407910973,0.263819432322547
615.08,0.2,59.11426384458717,11.72300616949036,0.26023184724226595,0.260927045321405
620.08,0.2,55.57435480356606,12.942790402847407,0.26009356460466976,0.2584744656530917
625.08,0.2,51.53601517750117,14.234336967713915,0.2537947755610198,0.2557294509887844
630.08,0.2,48.02098508357456,15.538248560080195,0.2517849536525011,0.2520988910025955
635.08,0.2,44.9784267654417,17.142334219403452,0.2531108576496244,0.2503029750491083
640.08,0.2,41.12525468103534,18.73675199410164,0.24580399115812776,0.24732006358423825
645.08,0.2,37.877808304715785,20.537959879233178,0.24302667080865797,0.24511795728395877
650.08,0.2,34.9820117388865,22.22335680540996,0.24222013136442008,0.24079354032179717
655.08,0.2,31.594059000021108,24.498735817920185,0.23600142108094693,0.24047335939140618
660.08,0.2,29.020845531127765,26.499167682779245,0.23564947090665997,0.2366160933655203
665.08,0.2,26.551388117648106,28.661645343011518,0.23497112602397802,0.23297754636491838
670.08,0.2,23.877007095376698,31.07483918216803,0.231348255029276,0.23026649141301214
675.08,0.2,21.641020821784394,34.17617852163913,0.23023855176371338,0.23220808097265663
680.08,0.2,19.551970424010353,36.18998112482264,0.22917596592272815,0.22356479027475412
685.08,0.2,17.382953360395646,39.43631553453233,0.22617652908661962,0.22430676305210587
690.08,0.2,15.451615788271692,42.6085923240767,0.2239929300100356,0.22319527164898811
695.08,0.2,13.877459731907624,45.46135200183016,0.2238093478877097,0.21782735721424223
700.08,0.2,12.03250021026186,49.152544947042365,0.21980591651783882,0.21898177881982922
705.08,0.2,10.68651092991727,53.028846912877,0.21929568636763094,0.22087344953939314
710.08,0.2,9.442456161002669,56.92324470525289,0.21861364600066843,0.2219251426424384
610.08,0.30000000000000004,68.67765625565714,15.386830085483707,0.2576968791361004,0.26080539236307143
615.08,0.30000000000000004,65.09775553782137,16.14461455561638,0.2565117313668579,0.2542152412059605
620.08,0.30000000000000004,60.97531135916909,17.38362487247551,0.250163559924394,0.25112191224706176
625.08,0.30000000000000004,57.55769424702665,19.053072096790775,0.24892917876780032,0.25078218101273475
630.08,0.30000000000000004,53.81819190008313,20.70385247674592,0.24445423042578993,0.2494913394128382
635.08,0.30000000000000004,51.25335211853832,21.858628832258397,0.24819181044465305,0.24372075130182508
640.08,0.30000000000000004,47.260960746537364,23.70237164173601,0.24045351106454435,0.242442560775131
645.08,0.30000000000000004,44.074787697416795,25.415573194344944,0.2380052974320948,0.23944792210812868
650.08,0.30000000000000004,41.175058899646096,27.49747838971407,0.23684847674195467,0.23835163732480263
655.08,0.30000000000000004,38.40766582699638,29.176057070045495,0.23583074335131055,0.2336297695381492
660.08,0.30000000000000004,35.45688660902368,31.184704704560207,0.23273753360158206,0.23048044207148252
665.08,0.30000000000000004,32.4312457763825,33.893038378009855,0.22834755159573258,0.23140432804277544
670.08,0.30000000000000004,30.058810785242155,36.260017879598735,0.22768936796398462,0.22914297478483617
675.08,0.30000000000000004,27.682994324355917,38.79094936221124,0.2261899848217219,0.2272068837481737
680.08,0.30000000000000004,24.975032508632278,41.24558466085743,0.22154061856235563,0.22391103331001103
685.08,0.30000000000000004,22.96911667666313,43.862396324155405,0.22095419885115328,0.22089377470293636
690.08,0.30000000000000004,21.214711593426482,47.08843243695803,0.22134156905017793,0.22135450324515996
695.08,0.30000000000000004,19.24015866138959,50.25645006472948,0.2193311808981001,0.22060251689749955
700.08,0.30000000000000004,17.73853752603283,52.82273159321071,0.2199623934550583,0.2145283924365044
705.08,0.30000000000000004,15.789465824145616,56.254975359244234,0.21640996017888192,0.21398076040910188
710.08,0.30000000000000004,14.16734014302478,59.73891220481002,0.21443360624493663,0.21300384125815336
