S0,K,T,P_mkt,iv_market
660.08,610.0,0.04,2.22,0.2942575457763671
660.08,615.0,0.04,2.54,0.28363753479003895
660.08,620.0,0.04,2.64,0.2732616619873046
660.08,625.0,0.04,3.53,0.263251996459961
660.08,630.0,0.04,4.04,0.2533033654785156
660.08,635.0,0.04,4.85,0.24341576904296874
660.08,640.0,0.04,5.71,0.23365024169921872
660.08,641.0,0.04,5.03,0.2316361016845703
660.08,642.0,0.04,5.17,0.2296524789428711
660.08,643.0,0.04,6.22,0.22772989074707028
660.08,644.0,0.04,6.45,0.22565471618652344
660.08,645.0,0.04,6.76,0.22361005889892577
660.08,646.0,0.04,5.83,0.22162643615722655
660.08,647.0,0.04,6.14,0.21945970977783202
660.08,648.0,0.04,7.43,0.2174760870361328
660.08,649.0,0.04,6.76,0.21537039520263673
660.08,650.0,0.04,8.03,0.21341728973388674
660.08,651.0,0.04,7.04,0.21131159790039059
660.08,652.0,0.04,8.56,0.20917538879394526
660.08,653.0,0.04,8.87,0.20722228332519527
660.08,654.0,0.04,9.12,0.20508607421874997
660.08,655.0,0.04,9.45,0.20307193420410152
660.08,656.0,0.04,9.45,0.2010272769165039
660.08,657.0,0.04,10.14,0.19879951599121093
660.08,658.0,0.04,10.39,0.19684641052246094
660.08,659.0,0.04,9.3,0.19464916687011719
660.08,660.0,0.04,11.22,0.1926045095825195
660.08,661.0,0.04,11.56,0.19046830047607421
660.08,662.0,0.04,12.14,0.18845416046142577
660.08,663.0,0.04,12.09,0.1863484686279297
660.08,664.0,0.04,12.85,0.18412070770263672
660.08,665.0,0.04,13.26,0.18201501586914062
660.08,666.0,0.04,13.67,0.17993984130859375
660.08,667.0,0.04,13.59,0.17777311492919923
660.08,668.0,0.04,14.57,0.17582000946044923
660.08,669.0,0.04,13.7,0.19617503051757812
660.08,670.0,0.04,16.03,0.17520966400146482
660.08,671.0,0.04,15.56,0.19245192321777344
660.08,672.0,0.04,14.5,0.1871724349975586
660.08,673.0,0.04,15.04,0.18888140228271483
660.08,674.0,0.04,17.37,0.187508125
660.08,675.0,0.04,18.8,0.17237155761718753
660.08,676.0,0.04,17.29,0.16254499572753905
660.08,677.0,0.04,16.63,0.18317467224121092
660.08,678.0,0.04,18.64,0.17026586578369146
660.08,679.0,0.04,21.02,0.18097742858886717
660.08,680.0,0.04,22.0,0.18006191040039063
660.08,681.0,0.04,22.5,0.17954311676025392
660.08,682.0,0.04,20.63,0.1803670831298828
660.08,683.0,0.04,22.23,0.18030604858398439
660.08,684.0,0.04,23.09,0.18021449676513673
660.08,685.0,0.04,26.15,0.1803670831298828
660.08,686.0,0.04,26.51,0.15027705200195315
660.08,687.0,0.04,25.56,0.14978877563476564
660.08,688.0,0.04,27.02,0.15259636474609378
660.08,689.0,0.04,28.13,0.1489342919921875
660.08,690.0,0.04,28.8,0.1485680847167969
660.08,691.0,0.04,26.5,0.18726398681640627
660.08,692.0,0.04,20.24,0.15265739929199224
660.08,693.0,0.04,28.19,0.19171950866699222
660.08,694.0,0.04,37.2,0.194343994140625
660.08,695.0,0.04,35.14,0.15320671020507814
660.08,696.0,0.04,32.81,0.20069158691406247
660.08,697.0,0.04,24.93,0.15589223022460938
660.08,698.0,0.04,25.24,0.2082598706054687
660.08,699.0,0.04,27.1,0.21204401245117185
660.08,700.0,0.04,40.0,0.16602396484375004
660.08,701.0,0.04,39.46,0.21949022705078125
