S0,K,T,C_mkt,iv_market
660.08,555.0,0.04,119.61,0.5037891418457032
660.08,560.0,0.04,101.74,0.5585981640625001
660.08,565.0,0.04,110.74,0.5389450402832032
660.08,570.0,0.04,106.67,0.5191698474121094
660.08,575.0,0.04,110.1,0.5003101727294923
660.08,580.0,0.04,81.2,0.48120635986328125
660.08,585.0,0.04,89.15,0.4624077197265626
660.08,590.0,0.04,71.57,0.44397528686523435
660.08,595.0,0.04,90.71,0.4259700958251954
660.08,600.0,0.04,66.79,0.4083921466064453
660.08,605.0,0.04,71.7,0.34955484436035156
660.08,610.0,0.04,54.0,0.3352727606201171
660.08,615.0,0.04,50.42,0.3215399877929687
660.08,620.0,0.04,42.55,0.3080208358764648
660.08,625.0,0.04,41.16,0.2951120294189453
660.08,630.0,0.04,38.89,0.28253891296386713
660.08,635.0,0.04,33.69,0.2703930383300781
660.08,640.0,0.04,29.94,0.25867440551757814
660.08,641.0,0.04,26.79,0.25629405822753903
660.08,642.0,0.04,26.57,0.25379164184570313
660.08,643.0,0.04,26.46,0.25156388092041015
660.08,644.0,0.04,25.5,0.2491835336303711
660.08,645.0,0.04,23.98,0.24665059997558597
660.08,646.0,0.04,21.51,0.24439232177734377
660.08,647.0,0.04,20.4,0.24213404357910157
660.08,648.0,0.04,22.49,0.23975369628906246
660.08,649.0,0.04,20.74,0.23740386627197263
660.08,650.0,0.04,20.36,0.2350540362548828
660.08,651.0,0.04,18.41,0.2327347235107422
660.08,652.0,0.04,20.38,0.23044592803955077
660.08,653.0,0.04,18.29,0.22815713256835937
660.08,654.0,0.04,18.0,0.22583781982421874
660.08,655.0,0.04,15.98,0.22354902435302731
660.08,656.0,0.04,15.52,0.22122971160888671
660.08,657.0,0.04,15.36,0.21887988159179686
660.08,658.0,0.04,15.44,0.2167131552124023
660.08,659.0,0.04,13.06,0.21411918701171873
660.08,660.0,0.04,12.43,0.21186090881347652
660.08,661.0,0.04,11.98,0.20990780334472653
660.08,662.0,0.04,11.26,0.2075579733276367
660.08,663.0,0.04,10.57,0.20533021240234373
660.08,664.0,0.04,10.53,0.20319400329589843
660.08,665.0,0.04,9.45,0.20096624237060545
660.08,666.0,0.04,8.92,0.19870796417236325
660.08,667.0,0.04,8.74,0.1966633068847656
660.08,668.0,0.04,8.75,0.19440502868652343
660.08,669.0,0.04,7.33,0.1923603713989258
660.08,670.0,0.04,6.81,0.19022416229248051
660.08,671.0,0.04,7.2,0.18799640136718748
660.08,672.0,0.04,6.38,0.18601277862548826
660.08,673.0,0.04,5.53,0.1839070867919922
660.08,674.0,0.04,5.15,0.1818319122314453
660.08,675.0,0.04,4.76,0.1798788067626953
660.08,676.0,0.04,4.98,0.1779257012939453
660.08,677.0,0.04,4.41,0.17585052673339846
660.08,678.0,0.04,3.81,0.17386690399169924
660.08,679.0,0.04,3.87,0.17191379852294925
660.08,680.0,0.04,3.06,0.1700522448730469
660.08,681.0,0.04,2.83,0.16825172576904301
660.08,682.0,0.04,2.46,0.166573275756836
660.08,683.0,0.04,2.3,0.16468120483398438
660.08,684.0,0.04,2.29,0.16297223754882814
660.08,685.0,0.04,1.86,0.1613243048095703
660.08,686.0,0.04,1.68,0.15992051025390625
660.08,687.0,0.04,1.5,0.15863878479003907
660.08,688.0,0.04,1.5,0.15699085205078128
660.08,689.0,0.04,1.16,0.15589223022460938
660.08,690.0,0.04,1.07,0.1544274011230469
660.08,691.0,0.04,0.95,0.15320671020507814
660.08,692.0,0.04,0.83,0.15210808837890627
660.08,693.0,0.04,0.87,0.15137567382812503
660.08,694.0,0.04,0.72,0.15027705200195315
660.08,695.0,0.04,0.57,0.14930049926757813
660.08,696.0,0.04,0.46,0.148446015625
660.08,697.0,0.04,0.44,0.14771360107421877
660.08,698.0,0.04,0.39,0.14734739379882814
660.08,699.0,0.04,0.42,0.14673704833984375
660.08,700.0,0.04,0.3,0.1463708410644531
660.08,701.0,0.04,0.35,0.14563842651367187
660.08,702.0,0.04,0.26,0.145516357421875
660.08,703.0,0.04,0.23,0.1450280810546875
660.08,704.0,0.04,0.17,0.145516357421875
660.08,705.0,0.04,0.19,0.145516357421875
660.08,706.0,0.04,0.19,0.145516357421875
660.08,707.0,0.04,0.16,0.1450280810546875
660.08,708.0,0.04,0.16,0.14600463378906248
660.08,709.0,0.04,0.11,0.14649291015625
660.08,710.0,0.04,0.09,0.1469811865234375
660.08,715.0,0.04,0.06,0.149422568359375
660.08,720.0,0.04,0.04,0.157234990234375
660.08,725.0,0.04,0.03,0.16407085937500002
660.08,730.0,0.04,0.04,0.174812939453125
660.08,735.0,0.04,0.03,0.179695703125
660.08,740.0,0.04,0.02,0.18946123046875002
660.08,745.0,0.04,0.02,0.1992267578125
660.08,750.0,0.04,0.02,0.20899228515624996
660.08,755.0,0.04,0.02,0.21875781249999998
660.08,760.0,0.04,0.02,0.22852333984375
660.08,765.0,0.04,0.02,0.23828886718749998
660.08,770.0,0.04,0.02,0.23828886718749998
660.08,775.0,0.04,0.02,0.24805439453125
660.08,780.0,0.04,0.02,0.25586681640625003
660.08,785.0,0.04,0.02,0.26563234375
660.08,790.0,0.04,0.02,0.273444765625
660.08,580.0,0.12,94.13,0.3645998599243164
660.08,630.0,0.12,39.59,0.26651734466552734
660.08,640.0,0.12,35.15,0.24974810317993162
660.08,645.0,0.12,30.43,0.2206193661499023
660.08,650.0,0.12,26.67,0.21270013381958008
660.08,655.0,0.12,22.01,0.20468934967041014
660.08,656.0,0.12,21.92,0.20322452056884766
660.08,657.0,0.12,20.4,0.2016681396484375
660.08,658.0,0.12,20.0,0.20005072418212888
660.08,659.0,0.12,19.1,0.19852486053466795
660.08,660.0,0.12,18.05,0.19704477279663085
660.08,661.0,0.12,18.64,0.19547313323974608
660.08,662.0,0.12,17.8,0.1940083041381836
660.08,663.0,0.12,17.6,0.19246718185424805
660.08,664.0,0.12,16.68,0.1909260595703125
660.08,665.0,0.12,15.66,0.18949174774169925
660.08,666.0,0.12,15.53,0.18798114273071287
660.08,667.0,0.12,16.28,0.18656208953857423
660.08,668.0,0.12,15.65,0.18506674316406246
660.08,669.0,0.12,13.79,0.18366294860839844
660.08,670.0,0.12,12.61,0.18225915405273438
660.08,671.0,0.12,13.76,0.18073329040527342
660.08,672.0,0.12,12.17,0.17932949584960936
660.08,673.0,0.12,12.66,0.1780325117492676
660.08,674.0,0.12,11.2,0.1766134585571289
660.08,675.0,0.12,10.14,0.1753012158203125
660.08,676.0,0.12,10.17,0.17397371444702148
660.08,677.0,0.12,9.81,0.17264621307373051
660.08,678.0,0.12,10.13,0.17141026351928712
660.08,679.0,0.12,9.64,0.1700522448730469
660.08,680.0,0.12,8.02,0.16880103668212892
660.08,681.0,0.12,8.52,0.16767189758300782
660.08,682.0,0.12,8.17,0.16639017211914067
660.08,683.0,0.12,6.77,0.1652152571105957
660.08,684.0,0.12,7.52,0.16404034210205082
660.08,685.0,0.12,6.1,0.16281965118408204
660.08,686.0,0.12,6.13,0.16187361572265624
660.08,687.0,0.12,5.8,0.1606529248046875
660.08,688.0,0.12,6.15,0.1596763720703125
660.08,689.0,0.12,5.0,0.15869981933593752
660.08,690.0,0.12,4.64,0.15757068023681642
660.08,691.0,0.12,4.88,0.15659412750244145
660.08,692.0,0.12,4.66,0.15573964385986327
660.08,693.0,0.12,4.51,0.1547630911254883
660.08,694.0,0.12,4.22,0.1539086074829102
660.08,695.0,0.12,3.36,0.1530846411132813
660.08,696.0,0.12,3.62,0.15226067474365235
660.08,697.0,0.12,3.38,0.15165032928466798
660.08,698.0,0.12,3.18,0.15088739746093754
660.08,699.0,0.12,2.86,0.15012446563720705
660.08,700.0,0.12,2.42,0.1496056719970703
660.08,701.0,0.12,2.44,0.1489342919921875
660.08,702.0,0.12,2.04,0.14850705017089844
660.08,704.0,0.12,2.16,0.147469462890625
660.08,705.0,0.12,2.04,0.14704222106933595
660.08,707.0,0.12,1.83,0.14624877197265623
660.08,709.0,0.12,1.52,0.1456994610595703
660.08,710.0,0.12,1.47,0.14539428833007811
660.08,715.0,0.12,0.89,0.1443567010498047
660.08,720.0,0.12,0.7,0.14466187377929687
660.08,725.0,0.12,0.54,0.14496704650878905
660.08,730.0,0.12,0.34,0.14624877197265623
660.08,735.0,0.12,0.29,0.14771360107421877
660.08,740.0,0.12,0.23,0.14991084472656252
660.08,745.0,0.12,0.18,0.15284050292968754
660.08,750.0,0.12,0.13,0.15601429931640626
660.08,755.0,0.12,0.13,0.15821154296875
660.08,770.0,0.12,0.07,0.16895362304687503
660.08,790.0,0.12,0.05,0.1870198486328125
660.08,345.0,0.25,343.0,0.715701085205078
660.08,350.0,0.25,320.74,0.7064238342285156
660.08,365.0,0.25,304.51,0.6780427703857423
660.08,385.0,0.25,291.95,0.6392858337402343
660.08,390.0,0.25,263.91,0.9136971520996093
660.08,395.0,0.25,285.26,0.6220130572509766
660.08,400.0,0.25,262.97,0.6169471899414063
660.08,405.0,0.25,270.59,0.601810622558594
660.08,420.0,0.25,249.2,0.576054044189453
660.08,435.0,0.25,230.64,0.5494429821777345
660.08,440.0,0.25,243.73,0.5385483157348634
660.08,455.0,0.25,213.23,0.5155077746582031
660.08,460.0,0.25,208.64,0.5048267291259765
660.08,465.0,0.25,208.13,0.5299729620361329
660.08,470.0,0.25,201.2,0.5221605401611327
660.08,475.0,0.25,193.41,0.5128222546386718
660.08,480.0,0.25,186.6,0.5077563873291016
660.08,485.0,0.25,179.86,0.49454240814208983
660.08,490.0,0.25,174.54,0.48895774719238294
660.08,495.0,0.25,183.85,0.47949739257812496
660.08,500.0,0.25,170.41,0.4440363214111328
660.08,505.0,0.25,166.29,0.4611870288085938
660.08,510.0,0.25,186.15,0.4510247769165039
660.08,515.0,0.25,155.4,0.4431818377685547
660.08,520.0,0.25,170.31,0.4332026895141602
660.08,525.0,0.25,164.25,0.4255428540039063
660.08,530.0,0.25,155.89,0.41583836120605466
660.08,535.0,0.25,135.43,0.4082700775146484
660.08,540.0,0.25,130.05,0.3989012747192383
660.08,545.0,0.25,127.16,0.3906005764770508
660.08,550.0,0.25,124.07,0.3823609127807617
660.08,555.0,0.25,117.48,0.3740907318115234
660.08,560.0,0.25,113.19,0.3669191726684571
660.08,565.0,0.25,107.32,0.35890838851928714
660.08,570.0,0.25,103.09,0.35111122528076166
660.08,575.0,0.25,97.38,0.3432835447692871
660.08,580.0,0.25,95.83,0.33551689880371094
660.08,585.0,0.25,90.48,0.327857063293457
660.08,590.0,0.25,85.79,0.3196936927795409
660.08,595.0,0.25,81.45,0.2998422067260742
660.08,600.0,0.25,74.36,0.29225866439819326
660.08,605.0,0.25,72.5,0.28578900253295897
660.08,610.0,0.25,65.87,0.27893787475585935
660.08,615.0,0.25,63.86,0.28301193069458
660.08,620.0,0.25,59.64,0.2759624406433105
660.08,625.0,0.25,54.49,0.2689739851379394
660.08,630.0,0.25,51.8,0.2510298286437988
660.08,635.0,0.25,47.6,0.2447280117797852
660.08,640.0,0.25,45.0,0.2348709326171875
660.08,645.0,0.25,39.11,0.2283249775695801
660.08,650.0,0.25,35.5,0.22190109161376947
660.08,655.0,0.25,32.74,0.21553824020385742
660.08,660.0,0.25,28.05,0.2093584924316406
660.08,665.0,0.25,25.0,0.20330081375122067
660.08,670.0,0.25,22.04,0.19742623870849607
660.08,675.0,0.25,19.29,0.19171950866699222
660.08,680.0,0.25,16.64,0.18627217544555663
660.08,685.0,0.25,14.37,0.1810842390441894
660.08,690.0,0.25,12.06,0.17630828582763675
660.08,695.0,0.25,10.1,0.17182224670410157
660.08,700.0,0.25,8.45,0.1677634494018555
660.08,705.0,0.25,7.0,0.1640861180114746
660.08,710.0,0.25,5.69,0.1608207698059082
660.08,715.0,0.25,4.68,0.15799792205810548
660.08,720.0,0.25,3.77,0.15552602294921875
660.08,725.0,0.25,3.03,0.1534508483886719
660.08,730.0,0.25,2.43,0.1520165365600586
660.08,735.0,0.25,1.96,0.15067377655029301
660.08,740.0,0.25,1.58,0.14997187927246097
660.08,745.0,0.25,1.33,0.149422568359375
660.08,750.0,0.25,1.0,0.14908687835693357
660.08,755.0,0.25,0.86,0.14930049926757813
660.08,760.0,0.25,0.75,0.14978877563476564
660.08,765.0,0.25,0.62,0.15046015563964849
660.08,770.0,0.25,0.47,0.1511315356445313
660.08,775.0,0.25,0.38,0.1519860192871094
660.08,780.0,0.25,0.33,0.15332877929687502
660.08,785.0,0.25,0.28,0.1538170556640625
660.08,790.0,0.25,0.25,0.15528188476562502
660.08,795.0,0.25,0.19,0.15699085205078128
660.08,800.0,0.25,0.18,0.15943223388671873
660.08,245.0,0.33,386.89,1.0988814587402347
660.08,250.0,0.33,414.43,0.8621839953613282
660.08,255.0,0.33,355.14,1.0672654058837894
660.08,260.0,0.33,388.32,1.0519456582641604
660.08,265.0,0.33,383.68,1.0368090151977545
660.08,270.0,0.33,396.21,1.0672654058837894
660.08,275.0,0.33,374.11,1.007329182128906
660.08,285.0,0.33,321.9,1.0000000000000003e-05
660.08,290.0,0.33,367.29,1.0000000000000003e-05
660.08,295.0,0.33,253.05,1.0000000000000003e-05
660.08,300.0,0.33,369.02,0.7651390673828126
660.08,305.0,0.33,368.6,1.0958297161865236
660.08,310.0,0.33,260.19,1.0000000000000003e-05
660.08,315.0,0.33,367.52,0.7346217944335938
660.08,320.0,0.33,361.74,0.7258328198242188
660.08,325.0,0.33,325.76,0.8716443499755859
660.08,330.0,0.33,340.28,0.7067900415039063
660.08,335.0,0.33,326.27,0.5712933496093751
660.08,340.0,0.33,333.5,0.6882965740966798
660.08,345.0,0.33,338.25,0.6810334631347659
660.08,350.0,0.33,322.97,0.6699862103271486
660.08,355.0,0.33,311.0,1.0341845166015626
660.08,360.0,0.33,316.23,0.6550327465820314
660.08,365.0,0.33,281.95,0.7743552838134766
660.08,370.0,0.33,319.46,0.6359289337158205
660.08,375.0,0.33,303.0,0.8763440100097657
660.08,380.0,0.33,299.68,0.616336844482422
660.08,385.0,0.33,282.19,0.7531762963867188
660.08,390.0,0.33,293.34,0.5989419989013673
660.08,395.0,0.33,276.01,0.8219927468872069
660.08,400.0,0.33,263.55,0.581180946044922
660.08,405.0,0.33,280.95,0.573673696899414
660.08,410.0,0.33,264.01,0.7815115843200684
660.08,415.0,0.33,263.8,0.7685264846801759
660.08,420.0,0.33,263.71,0.5471847039794924
660.08,425.0,0.33,254.4,0.5395859030151369
660.08,430.0,0.33,256.4,0.5303086520385744
660.08,435.0,0.33,195.67,0.6217384017944337
660.08,440.0,0.33,245.9,0.5165758792114258
660.08,445.0,0.33,237.83,0.5083056982421875
660.08,450.0,0.33,215.1,0.5000965518188477
660.08,455.0,0.33,215.53,0.5229845065307617
660.08,460.0,0.33,219.07,0.5129138064575195
660.08,465.0,0.33,224.6,0.5052844882202149
660.08,470.0,0.33,196.69,0.49551896087646485
660.08,475.0,0.33,198.35,0.48471584625244146
660.08,480.0,0.33,196.2,0.47937532348632805
660.08,485.0,0.33,196.66,0.46854169158935544
660.08,490.0,0.33,175.82,0.4586540951538086
660.08,495.0,0.33,172.0,0.45337460693359377
660.08,500.0,0.33,172.66,0.44528752960205076
660.08,505.0,0.33,187.79,0.4371394177246094
660.08,510.0,0.33,157.57,0.4296626858520508
660.08,515.0,0.33,179.13,0.4216976776123047
660.08,520.0,0.33,148.6,0.4138852557373046
660.08,525.0,0.33,158.58,0.40621016159057616
660.08,530.0,0.33,140.05,0.3985350674438477
660.08,535.0,0.33,134.87,0.39049376602172853
660.08,540.0,0.33,144.9,0.383444275970459
660.08,545.0,0.33,125.82,0.37579969909667965
660.08,550.0,0.33,125.25,0.36759055267333984
660.08,555.0,0.33,127.32,0.3603884762573242
660.08,560.0,0.33,110.57,0.3532779516601562
660.08,565.0,0.33,115.3,0.3462742375183105
660.08,570.0,0.33,106.85,0.3390569024658203
660.08,575.0,0.33,100.25,0.33244991287231446
660.08,580.0,0.33,95.52,0.3255987850952148
660.08,585.0,0.33,93.37,0.3086616986083984
660.08,590.0,0.33,88.75,0.31120989089965817
660.08,595.0,0.33,81.75,0.295905478515625
660.08,600.0,0.33,79.55,0.28958840301513666
660.08,605.0,0.33,73.82,0.2833323620605468
660.08,610.0,0.33,73.28,0.2770152865600586
660.08,615.0,0.33,66.71,0.27829701202392576
660.08,620.0,0.33,62.67,0.2742076974487304
660.08,625.0,0.33,58.87,0.2585370777893067
660.08,630.0,0.33,55.64,0.25238784729003905
660.08,635.0,0.33,48.92,0.24622335815429688
660.08,640.0,0.33,47.22,0.24030300720214842
660.08,645.0,0.33,44.04,0.23436739761352537
660.08,650.0,0.33,42.07,0.23706817626953125
660.08,655.0,0.33,38.86,0.22005479660034177
660.08,660.0,0.33,33.67,0.21445487701416016
660.08,665.0,0.33,29.41,0.20894650924682612
660.08,670.0,0.33,26.81,0.20348391738891602
660.08,675.0,0.33,23.73,0.19821205848693849
660.08,680.0,0.33,21.87,0.19315382049560548
660.08,685.0,0.33,18.4,0.18824053955078124
660.08,690.0,0.33,16.88,0.18360191406249998
660.08,695.0,0.33,14.25,0.17926846130371094
660.08,700.0,0.33,12.05,0.17516388809204103
660.08,705.0,0.33,10.68,0.1713950048828125
660.08,710.0,0.33,8.75,0.16797707031250003
660.08,715.0,0.33,7.62,0.16489482574462894
660.08,720.0,0.33,6.2,0.16208723663330077
660.08,725.0,0.33,5.21,0.1596763720703125
660.08,730.0,0.33,4.33,0.1574486111450195
660.08,735.0,0.33,3.83,0.1555870574951172
660.08,740.0,0.33,3.25,0.15403067657470704
660.08,745.0,0.33,2.55,0.15287102020263676
660.08,750.0,0.33,2.0,0.1518334329223633
660.08,755.0,0.33,1.65,0.1511315356445313
660.08,760.0,0.33,1.56,0.1506432592773438
660.08,765.0,0.33,1.18,0.15027705200195315
660.08,770.0,0.33,1.1,0.15033808654785158
660.08,775.0,0.33,0.8,0.15039912109375003
660.08,780.0,0.33,0.75,0.15070429382324224
660.08,785.0,0.33,0.57,0.15143670837402345
660.08,790.0,0.33,0.49,0.1519860192871094
660.08,795.0,0.33,0.4,0.15284050292968754
660.08,800.0,0.33,0.35,0.15369498657226563
660.08,805.0,0.33,0.33,0.15528188476562502
660.08,810.0,0.33,0.27,0.1557701611328125
660.08,815.0,0.33,0.3,0.1573570593261719
660.08,820.0,0.33,0.22,0.15857775024414064
660.08,825.0,0.33,0.19,0.15943223388671873
660.08,830.0,0.33,0.17,0.16089706298828127
660.08,835.0,0.33,0.15,0.16333844482421878
660.08,840.0,0.33,0.14,0.16407085937500002
660.08,845.0,0.33,0.14,0.1662681030273438
660.08,850.0,0.33,0.1,0.16797707031250003
660.08,475.0,0.44,216.0,0.4464166687011719
660.08,480.0,0.44,206.69,0.4385432122802735
660.08,500.0,0.44,183.66,0.41174904663085937
660.08,505.0,0.44,178.29,0.404577487487793
660.08,510.0,0.44,187.22,0.3985045501708985
660.08,515.0,0.44,175.75,0.39147031875610344
660.08,520.0,0.44,171.93,0.38544315734863277
660.08,530.0,0.44,143.65,0.37244279907226563
660.08,535.0,0.44,155.9,0.36594261993408206
660.08,540.0,0.44,146.86,0.3602053726196288
660.08,550.0,0.44,138.88,0.34703716934204093
660.08,555.0,0.44,127.16,0.3410863011169434
660.08,560.0,0.44,133.0,0.3346318978881836
660.08,565.0,0.44,122.7,0.3288030987548828
660.08,570.0,0.44,111.45,0.3232642137145995
660.08,575.0,0.44,119.51,0.3174201559448242
660.08,580.0,0.44,103.1,0.31173631385803224
660.08,585.0,0.44,98.01,0.30547264358520504
660.08,590.0,0.44,93.74,0.3004067762756348
660.08,595.0,0.44,89.78,0.29444064941406245
660.08,600.0,0.44,86.43,0.2889170230102538
660.08,605.0,0.44,81.16,0.2834544311523437
660.08,610.0,0.44,75.32,0.27794606338500977
660.08,612.0,0.44,92.34,0.2773814938354492
660.08,613.0,0.44,90.41,0.27624472541809075
660.08,615.0,0.44,82.09,0.27208674697875973
660.08,616.0,0.44,72.87,0.27104153038024903
660.08,618.0,0.44,85.76,0.27042355560302733
660.08,620.0,0.44,78.18,0.26828734649658204
660.08,621.0,0.44,82.9,0.26711243148803715
660.08,622.0,0.44,83.47,0.265983292388916
660.08,625.0,0.44,73.5,0.2632443671417237
660.08,627.0,0.44,62.05,0.260551217803955
660.08,630.0,0.44,65.15,0.2576597061920166
660.08,631.0,0.44,57.38,0.2562787995910644
660.08,634.0,0.44,71.1,0.25308211524963387
660.08,635.0,0.44,58.66,0.2524793991088867
660.08,637.0,0.44,56.72,0.24986254295349122
660.08,638.0,0.44,64.28,0.24932849067687987
660.08,639.0,0.44,52.5,0.24777973907470702
660.08,640.0,0.44,60.27,0.23856352264404296
660.08,641.0,0.44,53.61,0.24567404724121095
660.08,642.0,0.44,61.01,0.24518577087402343
660.08,643.0,0.44,66.27,0.24356835540771482
660.08,644.0,0.44,64.02,0.24275964767456054
660.08,645.0,0.44,50.25,0.24081417152404785
660.08,646.0,0.44,47.81,0.24100490447998046
660.08,647.0,0.44,54.65,0.23944089424133297
660.08,648.0,0.44,48.2,0.23791503059387203
660.08,649.0,0.44,58.04,0.2373580903625488
660.08,650.0,0.44,47.35,0.23688507263183595
660.08,651.0,0.44,57.55,0.23479463943481443
660.08,652.0,0.44,58.89,0.23387912124633786
660.08,653.0,0.44,44.35,0.23329929306030273
660.08,654.0,0.44,41.8,0.2244645425415039
660.08,655.0,0.44,40.73,0.2304764453125
660.08,656.0,0.44,39.25,0.2302857123565674
660.08,657.0,0.44,41.86,0.222389367980957
660.08,658.0,0.44,49.5,0.22142044456481932
660.08,659.0,0.44,39.0,0.220436262512207
660.08,660.0,0.44,38.75,0.2194291925048828
660.08,661.0,0.44,37.25,0.21596548202514648
660.08,662.0,0.44,38.72,0.2174684577178955
660.08,663.0,0.44,37.61,0.2165147929382324
660.08,664.0,0.44,36.71,0.21547720565795897
660.08,665.0,0.44,36.46,0.21453117019653317
660.08,666.0,0.44,36.57,0.2135546174621582
660.08,667.0,0.44,38.61,0.21262384063720702
660.08,668.0,0.44,32.27,0.2116625465393066
660.08,669.0,0.44,33.63,0.21073176971435548
660.08,670.0,0.44,33.77,0.20757323196411132
660.08,671.0,0.44,33.57,0.2061465494537353
660.08,672.0,0.44,31.85,0.20525391921997066
