S/K,Maturity,Volatility,Rate,Labels,Prices,Strikes,Weight_0,Weight_1,Weight_2
1.5304795143821022,0.0027397260273972603,1.7402356738281248,0.01,2373.6,6734.10986328125,4400.0,1.0,0.0,0.0
1.4029395548502603,0.0027397260273972603,1.0000000000000003e-05,0.01,1940.17,6734.10986328125,4800.0,1.0,0.0,0.0
1.34682197265625,0.0027397260273972603,1.0000000000000003e-05,0.01,1851.6,6734.10986328125,5000.0,1.0,0.0,0.0
1.2470573820891204,0.0027397260273972603,1.0000000000000003e-05,0.01,1451.85,6734.10986328125,5400.0,1.0,0.0,0.0
1.2243836115056819,0.0027397260273972603,1.0000000000000003e-05,0.01,1235.79,6734.10986328125,5500.0,1.0,0.0,0.0
1.1814227830317983,0.0027397260273972603,1.0000000000000003e-05,0.01,1120.97,6734.10986328125,5700.0,1.0,0.0,0.0
1.1660796300054113,0.0027397260273972603,1.0000000000000003e-05,0.01,1045.99,6734.10986328125,5775.0,1.0,0.0,0.0
1.1223516438802084,0.0027397260273972603,1.0000000000000003e-05,0.01,826.31,6734.10986328125,6000.0,1.0,0.0,0.0
1.1039524366034836,0.0027397260273972603,1.0000000000000003e-05,0.01,662.9,6734.10986328125,6100.0,1.0,0.0,0.0
1.0949772135416667,0.0027397260273972603,1.0000000000000003e-05,0.01,606.07,6734.10986328125,6150.0,1.0,0.0,0.0
1.084397723555757,0.0027397260273972603,1.0000000000000003e-05,0.01,540.58,6734.10986328125,6210.0,1.0,0.0,0.0
1.077457578125,0.0027397260273972603,1.0000000000000003e-05,0.01,591.75,6734.10986328125,6250.0,1.0,0.0,0.0
1.0731649184511953,0.0027397260273972603,1.0000000000000003e-05,0.01,565.4,6734.10986328125,6275.0,1.0,0.0,0.0
1.0689063275049604,0.0027397260273972603,1.0000000000000003e-05,0.01,406.54,6734.10986328125,6300.0,1.0,0.0,0.0
1.0655237125445016,0.0027397260273972603,1.0000000000000003e-05,0.01,539.36,6734.10986328125,6320.0,1.0,0.0,0.0
1.063840420739534,0.0027397260273972603,1.0000000000000003e-05,0.01,519.42,6734.10986328125,6330.0,1.0,0.0,0.0
1.0621624390033517,0.0027397260273972603,1.0000000000000003e-05,0.01,519.78,6734.10986328125,6340.0,1.0,0.0,0.0
1.0604897422490158,0.0027397260273972603,1.0000000000000003e-05,0.01,471.6,6734.10986328125,6350.0,1.0,0.0,0.0
1.0588223055473664,0.0027397260273972603,1.0000000000000003e-05,0.01,489.54,6734.10986328125,6360.0,1.0,0.0,0.0
1.0538513088077073,0.0027397260273972603,1.0000000000000003e-05,0.01,476.28,6734.10986328125,6390.0,1.0,0.0,0.0
1.0522046661376954,0.0027397260273972603,1.0000000000000003e-05,0.01,364.23,6734.10986328125,6400.0,1.0,0.0,0.0
1.0505631611983228,0.0027397260273972603,1.0000000000000003e-05,0.01,456.43,6734.10986328125,6410.0,1.0,0.0,0.0
